x, y
0.5512213893382064, 0.00011145131622191336
0.5653709152509414, 0.0001628858685914489
0.5904774195623803, 0.0003065823050841956
0.6279651688854445, 0.0006913311068449545
0.6775756033440732, 0.001901726166166722
0.7498723964012981, 0.006267368085843947
0.80911373209517, 0.014919931050773407
0.8636033514510233, 0.03018704678248868
0.938602044537613, 0.07317281716894981
1.027527951360222, 0.17736949265095134
1.1371643894098977, 0.4538900606938481
1.2861386025071453, 1.3181206290671523
1.4233685971076888, 2.919084297626508
1.6215370425703017, 7.469961881367812
1.8339664917991008, 17.78279410038923
2.2625364342738825, 59.67394550643843
2.9470469570714286, 203.8999129461501
3.29711519013722, 338.18004848265406
4.009113591654181, 748.9269551868888
4.600476615605836, 1311.3330423201
